Trade ID,Account ID,Instrument,TradeTime,B/S,Open/Close,Amount,Price,Trade Value,Spread Costs,Booked Amount
5419682499,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),05-Dec-2022,Bought,Open,1000,74.23,-74230,0,-51.96
5419742580,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Sold,Close,-40,11930.09,477203.6,-9,790
5419787858,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Bought,Open,40,11858.36,-474334.4,-9,0
5419873439,700880INET,US Tech. 100 NAS (ISIN: US6311011026),05-Dec-2022,Sold,Close,-40,11799.79,471991.6,-9,-2342.8
5419969545,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),05-Dec-2022,Sold,Close,-1000,73.01,73010,0,-1271.11
5421062550,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Sold,Open,-40,11713.32,468532.8,-9,0
5421076065,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Bought,Close,40,11702.3,-468092,-9,440.8
5421137473,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Sold,Open,-40,11610.08,464403.2,-9,0
5421142737,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Bought,Close,40,11620.06,-464802.4,-9,-399.2
5421182328,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),06-Dec-2022,Bought,Open,2000,71.35925,-142718.5,0,-99.9
5421200459,700880INET,Advanced Micro Devices Inc. (ISIN: US0079031078),06-Dec-2022,Sold,Close,-2000,71,142000,0,-817.9
5421207391,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Sold,Open,-40,11579.25,463170,-9,0
5421212760,700880INET,US Tech. 100 NAS (ISIN: US6311011026),06-Dec-2022,Bought,Close,40,11603.29,-464131.6,-9,-961.6
5422159541,700880INET,Apple Inc. (ISIN: US0378331005),07-Dec-2022,Bought,Open,666,142.99,-95231.34,0,-66.66
5422219078,700880INET,Apple Inc. (ISIN: US0378331005),07-Dec-2022,Sold,Close,-666,141.01,93912.66,0,-1384.42
5422288792,700880INET,Boeing Co. (ISIN: US0970231058),07-Dec-2022,Bought,Open,767,176.43,-135321.81,0,-94.73
5422565450,700880INET,Boeing Co. (ISIN: US0970231058),07-Dec-2022,Sold,Close,-767,177.45,136104.15,0,687.07
5423304560,700880INET,US Tech. 100 NAS (ISIN: US6311011026),08-Dec-2022,Bought,Open,40,11615.67,-464626.8,-9,0
5423317318,700880INET,US Tech. 100 NAS (ISIN: US6311011026),08-Dec-2022,Sold,Close,-40,11615.14,464605.6,-9,-21.2
5423947873,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Bought,Open,40,11690.47,-467618.8,-9,0
5424085911,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Sold,Close,-40,11597.52,463900.8,-9,-3718
5424097791,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Sold,Open,-40,11538.89,461555.6,-9,0
5424137823,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Bought,Open,40,11597.34,-463893.6,-9,0
5424224276,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Bought,Close,40,11601.59,-464063.6,-9,-2508
5424227101,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Sold,Close,-40,11582.39,463295.6,-9,-598
5424274912,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Bought,Open,40,11634.25,-465370,-9,0
5424392820,700880INET,US Tech. 100 NAS (ISIN: US6311011026),09-Dec-2022,Sold,Close,-40,11670.8,466832,-9,1462
5424397854,700880INET,Apple Inc. (ISIN: US0378331005),09-Dec-2022,Bought,Open,1000,144.37,-144370,0,-101.06
5425259609,700880INET,Microsoft Corp. (ISIN: US5949181045),12-Dec-2022,Bought,Open,200,249.52,-49904,0,-34.93
5425487916,700880INET,Microsoft Corp. (ISIN: US5949181045),12-Dec-2022,Sold,Close,-200,250.24,50048,0,108.97
5425595403,700880INET,Apple Inc. (ISIN: US0378331005),12-Dec-2022,Sold,Close,-1000,143.94,143940,0,-530.76
5426431735,700880INET,US Tech. 100 NAS (ISIN: US6311011026),13-Dec-2022,Bought,Open,40,12146.9,-485876,-9,0
5426533103,700880INET,US Tech. 100 NAS (ISIN: US6311011026),13-Dec-2022,Sold,Close,-40,12161.07,486442.8,-9,566.8
5426595598,700880INET,US Tech. 100 NAS (ISIN: US6311011026),13-Dec-2022,Sold,Open,-40,12081.95,483278,-9,0
5426880195,700880INET,US Tech. 100 NAS (ISIN: US6311011026),13-Dec-2022,Bought,Close,40,11976.22,-479048.8,-9,4229.2
5428023721,700880INET,US Tech. 100 NAS (ISIN: US6311011026),14-Dec-2022,Sold,Open,-40,11901.4,476056,-9,0
5428165337,700880INET,US Tech. 100 NAS (ISIN: US6311011026),14-Dec-2022,Bought,Close,40,11911.85,-476474,-9,-418
5428166008,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),14-Dec-2022,Bought,Open,1000,134.8,-134800,0,-94.36
5430702760,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Sold,Open,-13,11264.57,146439.41,-2.93,0
5430707765,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Bought,Close,13,11271.67,-146531.71,-2.93,-92.3
5430750249,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Sold,Open,-13,11246.83,146208.79,-2.93,0
5430770861,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Bought,Open,13,11225.16,-145927.08,-2.93,0
5430793561,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Bought,Close,13,11228.29,-145967.77,-2.93,241.02
5430793724,700880INET,US Tech. 100 NAS (ISIN: US6311011026),16-Dec-2022,Sold,Close,-13,11224.59,145919.67,-2.93,-7.41
5431959569,700880INET,Tesla Inc. (ISIN: US88160R1014),19-Dec-2022,Bought,Open,256,153.89,-39395.84,0,-27.58
5432070513,700880INET,Tesla Inc. (ISIN: US88160R1014),19-Dec-2022,Sold,Close,-256,150,38400,0,-1022.72
5433423773,700880INET,Citigroup Inc. (ISIN: US1729674242),20-Dec-2022,Bought,Open,1000,44.33453,-44334.53,0,-31.03
5433476736,700880INET,Citigroup Inc. (ISIN: US1729674242),20-Dec-2022,Sold,Close,-1000,44.3401,44340.1,0,-25.47
5434691658,700880INET,JPMorgan Chase & Co. (ISIN: US46625H1005),21-Dec-2022,Sold,Close,-1000,132.52,132520,0,-2372.76
5434721568,700880INET,US Tech. 100 NAS (ISIN: US6311011026),21-Dec-2022,Bought,Open,40,11137.89,-445515.6,-9,0
5434727130,700880INET,US Tech. 100 NAS (ISIN: US6311011026),21-Dec-2022,Sold,Close,-40,11158.91,446356.4,-9,840.8
5434741294,700880INET,US Tech. 100 NAS (ISIN: US6311011026),21-Dec-2022,Sold,Open,-40,11134.01,445360.4,-9,0
